Country,Emissions,1 Year Change,Population,Per capita,Share of world,latitude,longitude
Georgia,8610414 tons,2.94%,"40,15,450",2.14,0.02%,42.315407,43.356892
Costa Rica,8328890 tons,2.16%,"48,99,345",1.7,0.02%,9.748917,-83.753428
Moldova,8258774 tons,2.99%,"40,66,009",2.03,0.02%,47.411631,28.369885
Senegal,8247295 tons,3.69%,"1,49,93,519",0.55,0.02%,14.497401,-14.452362
Latvia,8157157 tons,3.41%,"19,74,266",4.13,0.02%,56.879635,24.603189
Nepal,7833787 tons,10.10%,"2,72,63,433",0.29,0.02%,28.394857,84.124008
Brunei,7672127 tons,3.54%,"4,19,800",18.28,0.02%,4.535277,114.727669
Kyrgyzstan,6941784 tons,2.53%,"60,74,330",1.14,0.02%,41.20438,74.766098
Cyprus,6872427 tons,3.73%,"11,70,187",5.87,0.02%,35.126413,33.429859
El Salvador,6853766 tons,0.45%,"63,56,143",1.08,0.02%,13.794185,-88.89653
Congo,6564773 tons,3.77%,"7,87,89,127",0.08,0.02%,-4.038333,21.758664
Benin,6563709 tons,4.13%,"1,08,72,063",0.6,0.02%,9.30769,2.315834
Uruguay,6508013 tons,1.91%,"34,24,129",1.9,0.02%,-32.522779,-55.765835
Cambodia,6496958 tons,7.68%,"1,57,66,292",0.41,0.02%,12.565679,104.990963
Botswana,6438429 tons,-3.74%,"21,59,927",2.98,0.02%,-22.328474,24.684866
Tajikistan,6049757 tons,3.37%,"86,63,579",0.7,0.02%,38.861034,71.276093
Paraguay,5998469 tons,1.97%,"67,77,872",0.89,0.02%,-23.442503,-58.443832
Mozambique,5859171 tons,2.22%,"2,78,29,938",0.21,0.02%,-18.665695,35.529562
Gabon,5694208 tons,1.12%,"20,07,873",2.84,0.02%,-0.803689,11.609444
Nicaragua,5325447 tons,1.86%,"63,03,974",0.84,0.01%,12.865416,-85.207229
Congo,5212302 tons,1.63%,"49,80,996",1.05,0.01%,-4.038333,21.758664
Albania,5208319 tons,4.45%,"28,86,438",1.8,0.01%,41.153332,20.168331
Uganda,5009493 tons,3.82%,"3,96,49,166",0.13,0.01%,1.373333,32.290275
Armenia,4597845 tons,3.06%,"29,36,143",1.57,0.01%,40.069099,45.038189
Laos,4531276 tons,7.92%,"68,45,846",0.66,0.01%,19.85627,102.495496
Bahamas,4404247 tons,1.51%,"3,77,930",11.65,0.01%,25.03428,-77.39628
Zambia,4230584 tons,3.67%,"1,63,63,458",0.26,0.01%,-13.133897,27.849332
Sudan,4038496 tons,4.18%,"1,08,32,518",0.37,0.01%,12.862807,30.217636
Iceland,3923884 tons,1.62%,"3,32,206",11.81,0.01%,64.963051,-19.020835
Namibia,3901830 tons,4.42%,"23,58,044",1.65,0.01%,-22.95764,18.49041
Guyana,3253057 tons,1.61%,"7,71,368",4.22,0.01%,4.860416,-58.93018
Mauritius,3192307 tons,0.00%,"12,61,865",2.53,0.01%,-20.348404,57.552152
Macau,3106518 tons,7.19%,"6,12,836",5.07,0.01%,22.198745,113.543873
Haiti,3086897 tons,1.71%,"1,08,39,970",0.28,0.01%,18.971187,-72.285215
Madagascar,3026047 tons,2.85%,"2,48,94,370",0.12,0.01%,-18.766947,46.869107
Martinique,2715477 tons,1.72%,"3,76,791",7.21,0.01%,14.641528,-61.024174
Mauritania,2564345 tons,3.32%,"41,63,533",0.62,0.01%,21.00789,-10.940835
Guadeloupe,2478038 tons,1.84%,"3,99,763",6.2,0.01%,16.995971,-62.067641
Burkina Faso,2352070 tons,3.14%,"1,86,46,357",0.13,0.01%,12.238333,-1.561593
New Caledonia,2338717 tons,7.22%,"2,74,191",8.53,0.01%,-20.904305,165.618042
Togo,2321546 tons,5.47%,"75,09,951",0.31,0.01%,8.619543,0.824782
Malta,2257870 tons,3.48%,"4,36,097",5.18,0.01%,35.937496,14.375416
Equatorial Guinea,2156371 tons,0.00%,"12,15,180",1.77,0.01%,1.650801,10.267895
Suriname,2152933 tons,0.32%,"5,64,888",3.81,0.01%,3.919305,-56.027783
Niger,2088475 tons,0.15%,"2,07,88,798",0.1,0.01%,17.607789,8.081666
Guinea,2071798 tons,3.20%,"1,17,38,429",0.18,0.01%,9.945587,-9.696645
Malawi,1815598 tons,3.26%,"1,72,05,261",0.11,0.01%,-13.254308,34.301525
Fiji,1703193 tons,7.28%,"8,72,399",1.95,0.00%,-16.578193,179.414413
Bhutan,1682100 tons,6.14%,"7,36,708",2.28,0.00%,27.514162,90.433601
