Line;Name;names.bridges;latitude;longitude;bridge_part;material ;condition;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15
260;PU Lyss;PU Lyss;47.0764032;7.307416742;abutment;concrete;0.00;0.00;0.00;0.01;0.01;0.02;0.02;0.03;0.03;0.04;0.04;0.04;0.05;0.05;0.05;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.03;0.03;0.04;0.05;0.06;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.21;0.15;0.11;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;bearings;concrete;1.00;0.96;0.91;0.87;0.83;0.80;0.76;0.73;0.70;0.67;0.64;0.68;0.73;0.76;0.77;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;bearings;concrete;0.00;0.04;0.08;0.11;0.14;0.16;0.19;0.20;0.22;0.24;0.25;0.03;0.05;0.08;0.10;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;bearings;concrete;0.00;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.00;0.01;0.01;0.02;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.03;0.00;0.00;0.00;0.00;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;abutment;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89;0.78;0.69;0.61;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;abutment;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.20;0.28;0.35;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;abutment;composite;1.00;0.87;0.76;0.66;0.58;0.50;0.44;0.38;0.33;0.29;0.25;0.00;0.01;0.02;0.03;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;abutment;composite;0.00;0.13;0.22;0.28;0.32;0.34;0.34;0.34;0.33;0.32;0.30;0.00;0.00;0.00;0.00;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;abutment;composite;0.00;0.00;0.02;0.06;0.11;0.16;0.22;0.28;0.33;0.39;0.44;0.00;0.00;0.00;0.00;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;bearings;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.28;0.21;0.16;0.13;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;bearings;composite;1.00;0.94;0.88;0.83;0.78;0.73;0.69;0.65;0.61;0.57;0.61;0.63;0.63;0.62;0.59;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;bearings;composite;0.00;0.06;0.11;0.15;0.18;0.21;0.23;0.25;0.26;0.27;0.03;0.09;0.14;0.18;0.22;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;bearings;composite;0.00;0.00;0.01;0.02;0.03;0.04;0.06;0.07;0.08;0.09;0.00;0.01;0.02;0.03;0.05;
260;PU Muenchenbuchsee;PU Muenchenbuchsee;47.02195406;7.451972361;bearings;composite;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.03;0.05;0.07;0.00;0.00;0.00;0.01;0.01;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.39;0.37;0.35;0.33;0.31;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;abutment;concrete;1.00;0.93;0.86;0.80;0.75;0.70;0.65;0.60;0.56;0.52;0.55;0.53;0.51;0.49;0.48;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;abutment;concrete;0.00;0.07;0.12;0.17;0.20;0.22;0.24;0.25;0.25;0.25;0.06;0.09;0.11;0.13;0.15;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;abutment;concrete;0.00;0.00;0.01;0.02;0.04;0.06;0.08;0.09;0.10;0.11;0.00;0.01;0.02;0.03;0.04;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;abutment;concrete;0.00;0.00;0.00;0.00;0.01;0.02;0.04;0.06;0.09;0.11;0.00;0.00;0.00;0.01;0.02;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.90;0.81;0.73;0.66;0.59;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.18;0.24;0.28;0.31;
